id,name,neighbourhood,price
878859416421424535,Charming Ipanema 2BR @ posto 9,Ipanema,550.0
882541689249589066,A Maravilhosa Casa Pedra da Gávea,São Conrado,979.0
878966033741417838,Apartamento no Coração do Rio,Humaitá,220.0
882608716247695749,Ipanema Sol & Mar Residence,Ipanema,600.0
879026237167681495,Quarto casa histórica em Santa.,Santa Teresa,42.0
879036208364899993,Apto inteiro próx a praia da Barra,Barra da Tijuca,250.0
882619117300150226,Suíte Privativa c/cozinha em Copacabana,Copacabana,112.0
879037674955234320,Lobie Barra Mediterrâneo Classic,Barra da Tijuca,248.0
879043946212382714,Ipanema Top 2qtos+mini suíte 1vg,Ipanema,436.0
882630640690564129,Apto de 2 quartos,Jacarepaguá,114.0
879102060702438421,Apartamento beira-mar na Praia de Copacabana,Copacabana,543.0
882661867290934759,Garden prédio novo Ipanema.,Ipanema,499.0
879106857703142474,Modern and Cozy Flat in the middle of Ipanema,Ipanema,245.0
879150503126664402,Suhcasa Leme Beach 3 Quartos 01,Leme,219.0
882700133618686885,Copacabana divisa com Ipanema charmoso 3 quartos,Copacabana,358.0
882808659362498101,Quarto em casa de familia,Pavuna,110.0
879168221649016913,"Apartamento Gloria, Santa Teresa, Nômades digitais",Santa Teresa,133.0
882848811130360236,Espaço inteiro: Quarto e Sala em Copacabana,Copacabana,277.0
879200206162216307,Apartamento Studio Copacabana / Próximo da praia.,Copacabana,154.0
882898511020602214,2 suites na quadra da praia da Barra,Barra da Tijuca,437.0
879566500668844148,Apartamento próximo ao Metrô,Pavuna,125.0
883171212809795670,Ap na Tijuca. Garagem privativa,Tijuca,160.0
879592571443088777,Quarto 100m da praia de Ipanema,Ipanema,273.0
883205854191232857,Hidromassagem | metrô Saens Pena Tijuca 4 min a pé,Tijuca,200.0
879621807666674360,Quarto Sala no Leblon vista MAR.,Leblon,350.0
883247792666753295,Nice Loft apartment in Ipanema for seasonal rental,Ipanema,468.0
879645357999592448,Rooftop Ocean View Penthouse in Copacabana,Copacabana,393.0
883261305022106349,Quarto Privativo - Ipanema,Ipanema,250.0
879684897178747011,Mansão de alto padrão no Rio Rock in Rio,Vidigal,6071.0
883386948472991176,Quarto individual copacabana 3 min da praia/metrô,Copacabana,133.0
879688206883689574,Quarto inteiro com ar condicionado,Botafogo,500.0
883421468005066492,Apartamento charmoso no coração de Copacabana,Copacabana,148.0
879699760089305841,Residence Inn By Rio Stay,Camorim,176.0
879701725836891989,Apê em rua nobre ao lado da Praia e Metrô,Copacabana,184.0
883476211654884467,Studio Zona Sul Laranjeiras RJ,Laranjeiras,213.0
879739357837980599,Apartamento Vista Mar,Barra de Guaratiba,124.0
879766107923061818,Quarto Individual Copacabana,Copacabana,260.0
883489503081635177,Copacabana: it feels like home !,Copacabana,490.0
879774716098313901,Beachfront CopaTropical Escape,Copacabana,795.0
883497972453161080,Barra da Tijuca 2,Camorim,464.0
879807668916563818,Lindo apto Resort Vista praia da Barra Ocean Drive,Barra da Tijuca,607.0
883537640220834132,"Suíte luxo para até 4 pessoas, vista para o mar.",São Conrado,834.0
879835239565781523,Olá venha desfrutar cobertura 02,Recreio dos Bandeirantes,470.0
883936170009597275,Apartamento completo 45m² a 90m da praia,Copacabana,371.0
880248187507060084,Apto Ipanema Posto 9 c/ Suíte,Ipanema,491.0
883951277576100434,Apartamento luxo,Recreio dos Bandeirantes,5000.0
884020690417001238,Apartamento VSF Vai Ser Feliz,Saúde,158.0
884042298357441137,Quarto privado na Glória próximo a estúdio de Yoga,Glória,238.0
880316483853854264,Better#42813700: Linda casa temporada 5 quartos,Barra da Tijuca,3090.0
880407057515638746,Apartamento aconchegante no Leme,Leme,217.0
884077369420907708,Apartamento copacabana Beach,Copacabana,220.0
880477396690591652,Apartamento Vista Pão de Açúcar,Botafogo,280.0
884108826398652151,Apto. tranquilo na Lapa,Centro,144.0
880517072867899127,Quarto c/ Banheiro Barra Tijuca RJ Próximo Praia,Barra da Tijuca,152.0
884126632571853101,1BDR 230m from Ipanema Beach | FA 49/302,Ipanema,374.0
880581207634567398,Studio Sol Santa Teresa,Santa Teresa,550.0
884143200831773956,Walking distance from the beach,Ipanema,351.0
880621210115625112,Copacabana Paradise,Copacabana,732.0
884146635197085436,Apartamento espaçoso c/ quintal,Copacabana,278.0
880893212664365740,Seu apê na praia de Copacabana,Copacabana,360.0
884146919559837319,Experimente o Charme do Rio no Coração da Cidade!,Centro,156.0
881002374835776515,Cobertura exclusiva no Leme,Leme,1500.0
884176877863699666,Loft exclusivo 40 metros praia,Recreio dos Bandeirantes,166.0
881043559830317580,"Pé na areia da Barra, VISTA MAR  - 3 quartos/Rod.",Barra da Tijuca,343.0
884204408650965150,Quarto privativo c/Cama casal esquina Ipanema/Copa,Copacabana,120.0
881068862682289874,Cav1601| Beautiful apartment on the beach block!,São Conrado,465.0
884260516266846028,Copacabana – Quarto cobertura 100 metros da praia,Copacabana,130.0
881164145514649164,Oasis Ipanema | Lindo refúgio em ótima localização,Ipanema,425.0
884301018560666193,Apartamento Barrabella - 1 quarto - 231 standard,Barra da Tijuca,397.0
881180199904411607,Ap Carioca,Recreio dos Bandeirantes,648.0
884338542847187861,Belíssimo apartamento na praia São Conrado,São Conrado,650.0
884622786852305793,Apartamento Aconchegante 07/301,Recreio dos Bandeirantes,149.0
881214960691719287,Come to Review of Recreio,Recreio dos Bandeirantes,887.0
884727643697433493,Apartamento Barrabella - 2 quarto - 1022,Barra da Tijuca,600.0
881217707448993459,Studio In Copacabana,Copacabana,193.0
881271013667016191,Ambiente familiar e acolhedor 3,Vidigal,126.0
884749842007868909,Grumari Reserva Natural - Playas Exóticas.,Recreio dos Bandeirantes,200.0
881274143763497385,Beach Apartment Ipanema - Views,Ipanema,329.0
884760765033996071,Apartamento Barrabella - 3 quartos - 1128,Barra da Tijuca,867.0
881275286627622203,MAR e Lagoa 1 Suíte com sacada e vista!,Barra da Tijuca,190.0
881303938741841839,Barra da Tijuca RJ ilha da gigoia ap class,Barra da Tijuca,164.0
884801486704881318,Ipanema Pé na Areia,Ipanema,200.0
884807919481326288,"Barra da Tijuca Península, Incrível para familias",Barra da Tijuca,700.0
881719805068570535,Flat Barra - Parque das Rosas,Barra da Tijuca,503.0
884814662739417833,"End of Leme, 50 mt from the beach",Leme,550.0
881757499995652630,Lindo loft recém reformado,Itanhangá,230.0
884923206146683034,Cristo Redentor Qto p/ 2 em laranjeiras c/ terraço,Laranjeiras,200.0
881768362823923917,Apart-Hotel no coração do Leblon,Leblon,567.0
884952227245464088,Suíte aconchegante,Copacabana,195.0
885243443604072261,Quarto grande com banheiro privativo,Copacabana,200.0
887099453928345425,Loft em Copacabana,Copacabana,140.0
887171437738479669,Pacato e bem localizado em Copacabana / Posto 5,Copacabana,210.0
885298254065295460,Studio Moderno e Sofisticado,Copacabana,249.0
887281641795070257,Lovely Leblon,Leblon,280.0
887283390201174421,Lindo Studio com Vista.,Botafogo,271.0
885336518052496205,Super Flat na Praia da Barra ao lado WindsorHotel,Barra da Tijuca,422.0
885392520209545792,Quarto para solteiro,Pilares,80.0
887539694724095944,Entre o Mar e a Mata,Copacabana,329.0
885396373207584047,Casa com Churrasqueira e Piscina,Barra da Tijuca,2950.0
887542327931873859,Charmoso e aconchegante apto 1Q,Copacabana,363.0
885499457438460812,"Luxuoso Loft com Vista Mar, Praia de Copacabana",Copacabana,900.0
887564540075517035,Paraíso Itanhanga Eventos Hosp,Itanhangá,1686.0
885532274992500786,Praia do Leblon,Leblon,552.0
887570636163114832,Casarão Itanhanga - Eventos Hosp,Itanhangá,1251.0
885562929947077664,RioNatureza apart 120,Jacarepaguá,150.0
885562938867148996,Rio natureza apart. 118,Jacarepaguá,144.0
887631719017765557,Morada Santa Clara - Copacabana,Copacabana,208.0
887638598382027985,Charmoso apartamento em Botafogo,Botafogo,750.0
885587458894894776,Copacabana 2 qtos confortável.,Copacabana,248.0
887658281847670367,Quarto aconchegante,Itanhangá,1143.0
887679286419267550,Sua melhor escolha em Copacabana,Copacabana,454.0
885639882523798576,Quartos no Maracanã,Maracanã,114.0
887703419299753843,Upscale Design 3 BRs Ocean View @ Ipanema Beach,Ipanema,724.0
887707286805848048,C 3 Studio Glória,Catete,153.0
887716836447778917,NEW! Ideal for Relax & Home-office up to 05,Leblon,539.0
885666729569856645,Apartamento Clean,Recreio dos Bandeirantes,240.0
887722768350205475,Ipanema Home,Ipanema,436.0
885678261966466067,Quarto confortável,Laranjeiras,184.0
887847943473133858,"Loft com arte, design e alma, perto de tudo.",Jardim Botânico,850.0
887874708549692764,Ap aconchegante perto do Metrô,Pavuna,135.0
885682099404607622,Apartamento na quadra da praia em Copacabana c ar,Leme,162.0
887890717343912349,Apê completo em Botafogo Rio de Janeiro,Botafogo,130.0
886073708682725476,Apto Moderno e Bem Localizado,Jacarepaguá,500.0
887932181264388677,Copacabana bucólica,Copacabana,180.0
886142501522717910,"Luminoso, bonito y cómodo",Santa Teresa,286.0
888251246407681859,Aconchego da montanha - Tijuca,Andaraí,80.0
886167839998394541,Large studio for 5 people in Copacabana,Copacabana,326.0
888288430719721861,Studio Decorado LUXO Recreio RJ até 4Pessoas,Recreio dos Bandeirantes,235.0
886243477744637974,Lindo 2 quartos com AR em Copacabana,Copacabana,300.0
888291902046555725,Lindo Apartamento na Copacabana,Copacabana,664.0
886271881302358821,Quarto em Copabana 4min da praia,Copacabana,120.0
888299072935350186,Enseada de Botafogo,Botafogo,343.0
886301900598388815,Wifi 350mb + TV a cabo / 4 quadras da Praia,Copacabana,213.0
888303743032736974,"Laranjeiras 2qts: amplo, estiloso  com vaga!",Laranjeiras,216.0
